activity_type,current_activity_type_intensity,cycles_to_calories,cycles_to_distance,data,data16,enabled,event,event_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,number,resting_metabolic_rate,serial_number,software_version,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_2,unknown_253,unknown_3,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version
,,,,,,,,,,,,,,,,,,,,,,,,,,"(66, 66, 0, 16)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:05:00,-1,,,,,,,101,,8,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917100,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 24)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:06:00,-1,,,,,,,101,,8,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917160,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 32)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:07:00,-1,,,,,,,101,,8,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917220,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 34, 201, 40)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:08:00,-1,,,,,,,101,,8,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917280,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(192, 31, 240, 55)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:09:00,-1,,,,,,,101,,8,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917340,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 56)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:10:00,-1,,,,,,,101,,8,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917400,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 0, 176)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:11:00,-1,,,,,,,101,,7,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917460,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(40, 100, 32, 64)",,,,,,,,,
,,,,,,,,,,,,,,,,,,2024-11-30 16:12:00,-1,,,,,,,101,,7,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-200,,,1101917520,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 0, 4, 240)",,,,,,,,,
sedentary,"(8,)",,,,,,,,,,0,,,,,,,,,,2024-11-30 16:12:00,,,,,,,,,,,,,,
,,,,,,on,,,,,,,,,,,,,,,,,,,,,1101917520,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2024-11-30 16:12:00,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(95, 237, 173, 65, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"(95, 237, 173, 65, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,
